date,deaths_<=39,deaths_40-49,deaths_50-59,deaths_60-69,deaths_70-79,deaths_80-89,deaths_>=90,vaccinated_pct_<=39,vaccinated_pct_40-49,vaccinated_pct_50-59,vaccinated_pct_60-69,vaccinated_pct_70-79,vaccinated_pct_80-89,vaccinated_pct_>=90,deaths_7d,vaccinated_pct
2020-04-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-04-12,0.43,0.29,0.71,1.71,4.43,4.71,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.43,0.00
2020-04-13,0.14,0.14,0.71,0.71,1.57,2.71,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.86,0.00
2020-04-14,0.29,0.00,0.86,0.86,2.00,2.71,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.29,0.00
2020-04-15,0.14,0.00,0.86,0.71,2.14,2.86,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.57,0.00
2020-04-16,0.14,0.00,0.86,0.86,1.86,3.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.57,0.00
2020-04-17,0.14,0.00,1.14,1.00,1.86,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.14,0.00
2020-04-18,0.29,0.00,1.14,1.14,1.86,2.57,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.86,0.00
2020-04-19,0.29,0.00,1.29,2.00,2.29,2.57,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.43,0.00
2020-04-20,0.29,0.14,1.14,2.00,2.29,2.29,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00
2020-04-21,0.14,0.29,0.86,2.00,1.86,2.29,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.29,0.00
2020-04-22,0.29,0.57,1.00,2.00,1.57,1.86,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.86,0.00
2020-04-23,0.29,0.71,0.86,2.14,1.57,1.86,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00
2020-04-24,0.29,0.71,0.71,2.29,2.14,1.86,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.43,0.00
2020-04-25,0.14,0.86,0.43,2.14,2.43,1.71,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.57,0.00
2020-04-26,0.14,1.00,0.43,1.71,1.86,2.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00
2020-04-27,0.14,1.00,0.43,1.71,2.43,2.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.43,0.00
2020-04-28,0.14,0.86,0.57,1.57,2.71,2.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.57,0.00
2020-04-29,0.00,0.71,0.43,1.71,3.14,2.57,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.57,0.00
2020-04-30,0.00,0.71,0.43,1.71,3.00,3.00,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.14,0.00
2020-05-01,0.00,0.71,0.57,1.57,2.71,3.29,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.29,0.00
2020-05-02,0.00,0.71,0.57,1.57,2.29,3.29,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.71,0.00
2020-05-03,0.00,0.57,0.43,1.29,2.29,3.43,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.29,0.00
2020-05-04,0.00,0.43,0.57,1.00,1.57,3.43,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.29,0.00
2020-05-05,0.14,0.57,0.43,1.14,1.71,3.29,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.57,0.00
